Survived,male,female,first_class,second_class,third_class,S,C,Q,norm_age,norm_sib_sp,norm_fare,norm_parch
0,1,0,0,0,1,1,0,0,0.30450070323488043,0.7876230661040788,0.07102672292545711,0.0
1,0,1,1,0,0,0,1,0,0.7461322081575246,0.7876230661040788,0.8706047819971869,0.0
1,0,1,0,0,1,1,0,0,0.4345991561181435,0.0,0.2130801687763713,0.0
1,0,1,1,0,0,1,0,0,0.6849507735583685,0.7876230661040788,0.8284106891701829,0.0
0,1,0,0,0,1,1,0,0,0.6849507735583685,0.0,0.2468354430379747,0.0
0,1,0,1,0,0,1,0,0,0.9374120956399438,0.0,0.8129395218002813,0.0
0,1,0,0,0,1,1,0,0,0.02531645569620253,0.959915611814346,0.5724331926863573,0.8066104078762306
1,0,1,0,0,1,1,0,0,0.4606188466947961,0.0,0.3727144866385373,0.9317862165963432
1,0,1,0,1,0,0,1,0,0.10337552742616034,0.7876230661040788,0.720112517580872,0.0
1,0,1,0,0,1,1,0,0,0.048523206751054856,0.7876230661040788,0.5239099859353025,0.8066104078762306
1,0,1,1,0,0,1,0,0,0.959212376933896,0.0,0.6652601969057665,0.0
0,1,0,0,0,1,1,0,0,0.2405063291139241,0.0,0.2468354430379747,0.0
0,1,0,0,0,1,1,0,0,0.7623066104078763,0.7876230661040788,0.7348804500703234,0.9957805907172996
0,0,1,0,0,1,1,0,0,0.10337552742616034,0.0,0.15471167369901548,0.0
1,0,1,0,1,0,1,0,0,0.9444444444444444,0.0,0.5133614627285513,0.0
0,1,0,0,0,1,0,0,1,0.02531645569620253,0.981012658227848,0.7039381153305204,0.8066104078762306
0,0,1,0,0,1,1,0,0,0.589310829817159,0.7876230661040788,0.5316455696202531,0.0
0,1,0,0,1,0,1,0,0,0.6849507735583685,0.0,0.6195499296765119,0.0
1,1,0,0,1,0,1,0,0,0.6603375527426161,0.0,0.4289732770745429,0.0
1,0,1,0,0,1,0,0,1,0.11181434599156118,0.0,0.22644163150492266,0.0
1,1,0,1,0,0,1,0,0,0.490857946554149,0.0,0.7637130801687764,0.0
0,0,1,0,0,1,1,0,0,0.07243319268635724,0.959915611814346,0.5724331926863573,0.8066104078762306
